15	10	E	-9153633.322695628	200
emissionprobs	2	8	H3k9ac	0	0.1792133653693692
emissionprobs	2	8	H3k9ac	1	0.8207866346306308
emissionprobs	2	9	H4k20me1	0	0.9376061889018688
emissionprobs	2	9	H4k20me1	1	0.062393811098131274
emissionprobs	3	0	H3k04me1	0	0.9685979836508288
emissionprobs	3	0	H3k04me1	1	0.03140201634917124
emissionprobs	3	1	H3k09me3	0	0.9971808464881156
emissionprobs	3	1	H3k09me3	1	0.002819153511884499
emissionprobs	3	2	H3k27ac	0	0.053664038775166574
emissionprobs	3	2	H3k27ac	1	0.9463359612248334
emissionprobs	3	3	H3k27me3	0	0.9975814389486527
emissionprobs	3	3	H3k27me3	1	0.002418561051347338
emissionprobs	3	4	H3k36me3	0	0.999986475299071
emissionprobs	3	4	H3k36me3	1	1.352470092900969E-5
emissionprobs	3	5	H3k4me2	0	0.1894052229766613
emissionprobs	3	5	H3k4me2	1	0.8105947770233387
emissionprobs	3	6	H3k4me3	0	0.026007099695793137
emissionprobs	3	6	H3k4me3	1	0.9739929003042068
emissionprobs	3	7	H3k79me2	0	0.8574292112543835
emissionprobs	3	7	H3k79me2	1	0.14257078874561646
emissionprobs	3	8	H3k9ac	0	0.03675112977666883
emissionprobs	3	8	H3k9ac	1	0.9632488702233312
emissionprobs	3	9	H4k20me1	0	0.9858264368612828
emissionprobs	3	9	H4k20me1	1	0.01417356313871723
emissionprobs	4	0	H3k04me1	0	0.5905939110738206
emissionprobs	4	0	H3k04me1	1	0.40940608892617936
emissionprobs	4	1	H3k09me3	0	0.9822386324369667
emissionprobs	4	1	H3k09me3	1	0.01776136756303323
emissionprobs	4	2	H3k27ac	0	0.24448524715685338
emissionprobs	4	2	H3k27ac	1	0.7555147528431465
emissionprobs	4	3	H3k27me3	0	0.9859671244318164
emissionprobs	4	3	H3k27me3	1	0.014032875568183561
emissionprobs	4	4	H3k36me3	0	0.8932201884045153
emissionprobs	4	4	H3k36me3	1	0.10677981159548473
emissionprobs	4	5	H3k4me2	0	8.731295745453457E-4
emissionprobs	4	5	H3k4me2	1	0.9991268704254547
emissionprobs	4	6	H3k4me3	0	0.004450256408171544
emissionprobs	4	6	H3k4me3	1	0.9955497435918285
emissionprobs	4	7	H3k79me2	0	0.027914262001577244
emissionprobs	4	7	H3k79me2	1	0.9720857379984228
emissionprobs	4	8	H3k9ac	0	0.0780190741906249
emissionprobs	4	8	H3k9ac	1	0.9219809258093751
emissionprobs	4	9	H4k20me1	0	0.7814989390125833
emissionprobs	4	9	H4k20me1	1	0.2185010609874168
emissionprobs	5	0	H3k04me1	0	0.7628310347969132
emissionprobs	5	0	H3k04me1	1	0.2371689652030868
emissionprobs	5	1	H3k09me3	0	0.9844747863052843
emissionprobs	5	1	H3k09me3	1	0.015525213694715843
emissionprobs	5	2	H3k27ac	0	0.9560650960294647
emissionprobs	5	2	H3k27ac	1	0.04393490397053545
emissionprobs	5	3	H3k27me3	0	0.9467830978448543
emissionprobs	5	3	H3k27me3	1	0.05321690215514585
emissionprobs	5	4	H3k36me3	0	0.9955278837000625
emissionprobs	5	4	H3k36me3	1	0.004472116299937455
emissionprobs	5	5	H3k4me2	0	0.23887932638793682
emissionprobs	5	5	H3k4me2	1	0.7611206736120631
emissionprobs	5	6	H3k4me3	0	0.5988561801761482
emissionprobs	5	6	H3k4me3	1	0.4011438198238518
emissionprobs	5	7	H3k79me2	0	0.9564114518657356
emissionprobs	5	7	H3k79me2	1	0.04358854813426441
emissionprobs	5	8	H3k9ac	0	0.8384460033704417
emissionprobs	5	8	H3k9ac	1	0.1615539966295583
emissionprobs	5	9	H4k20me1	0	0.9574331816740582
emissionprobs	5	9	H4k20me1	1	0.04256681832594178
emissionprobs	6	0	H3k04me1	0	0.14202519410275077
emissionprobs	6	0	H3k04me1	1	0.8579748058972493
emissionprobs	6	1	H3k09me3	0	0.9961334206434074
emissionprobs	6	1	H3k09me3	1	0.003866579356592679
emissionprobs	6	2	H3k27ac	0	0.7723680257823791
emissionprobs	6	2	H3k27ac	1	0.22763197421762096
emissionprobs	6	3	H3k27me3	0	0.9958191940222807
emissionprobs	6	3	H3k27me3	1	0.004180805977719347
emissionprobs	6	4	H3k36me3	0	0.9965561263121562
emissionprobs	6	4	H3k36me3	1	0.003443873687843854
emissionprobs	6	5	H3k4me2	0	0.08040703964181735
emissionprobs	6	5	H3k4me2	1	0.9195929603581827
emissionprobs	6	6	H3k4me3	0	0.8336321036048335
emissionprobs	6	6	H3k4me3	1	0.16636789639516647
emissionprobs	6	7	H3k79me2	0	0.9693561180320571
emissionprobs	6	7	H3k79me2	1	0.03064388196794284
emissionprobs	6	8	H3k9ac	0	0.9369570235080592
emissionprobs	6	8	H3k9ac	1	0.0630429764919408
emissionprobs	6	9	H4k20me1	0	0.9280567816217525
emissionprobs	6	9	H4k20me1	1	0.07194321837824745
emissionprobs	7	0	H3k04me1	0	0.5272088775944468
emissionprobs	7	0	H3k04me1	1	0.4727911224055531
emissionprobs	7	1	H3k09me3	0	0.9937788085786002
emissionprobs	7	1	H3k09me3	1	0.006221191421399824
emissionprobs	7	2	H3k27ac	0	0.9715144285269132
emissionprobs	7	2	H3k27ac	1	0.028485571473086783
emissionprobs	7	3	H3k27me3	0	0.996457041205435
emissionprobs	7	3	H3k27me3	1	0.0035429587945650137
emissionprobs	7	4	H3k36me3	0	0.9928572568401527
emissionprobs	7	4	H3k36me3	1	0.007142743159847394
emissionprobs	7	5	H3k4me2	0	0.9497831377695846
emissionprobs	7	5	H3k4me2	1	0.05021686223041552
emissionprobs	7	6	H3k4me3	0	0.996675277856973
emissionprobs	7	6	H3k4me3	1	0.0033247221430269995
emissionprobs	7	7	H3k79me2	0	0.9750861602953187
emissionprobs	7	7	H3k79me2	1	0.024913839704681265
emissionprobs	7	8	H3k9ac	0	0.9777729310195427
emissionprobs	7	8	H3k9ac	1	0.022227068980457253
emissionprobs	7	9	H4k20me1	0	0.9466515578177273
emissionprobs	7	9	H4k20me1	1	0.05334844218227277
emissionprobs	8	0	H3k04me1	0	0.4509576082857386
emissionprobs	8	0	H3k04me1	1	0.5490423917142614
emissionprobs	8	1	H3k09me3	0	0.9868813816199861
emissionprobs	8	1	H3k09me3	1	0.013118618380013887
emissionprobs	8	2	H3k27ac	0	0.8914528820970267
emissionprobs	8	2	H3k27ac	1	0.10854711790297342
emissionprobs	8	3	H3k27me3	0	0.9952496758866513
emissionprobs	8	3	H3k27me3	1	0.004750324113348699
emissionprobs	8	4	H3k36me3	0	0.7208744802076311
emissionprobs	8	4	H3k36me3	1	0.27912551979236905
emissionprobs	8	5	H3k4me2	0	0.3059101200967426
emissionprobs	8	5	H3k4me2	1	0.6940898799032574
emissionprobs	8	6	H3k4me3	0	0.7318475527689683
emissionprobs	8	6	H3k4me3	1	0.2681524472310317
emissionprobs	8	7	H3k79me2	0	0.1446656031022057
emissionprobs	8	7	H3k79me2	1	0.8553343968977942
emissionprobs	8	8	H3k9ac	0	0.9118211351787715
emissionprobs	8	8	H3k9ac	1	0.0881788648212286
emissionprobs	8	9	H4k20me1	0	0.7682664413644639
emissionprobs	8	9	H4k20me1	1	0.2317335586355361
emissionprobs	9	0	H3k04me1	0	0.9600991860716798
emissionprobs	9	0	H3k04me1	1	0.0399008139283202
emissionprobs	9	1	H3k09me3	0	0.9927943769548779
emissionprobs	9	1	H3k09me3	1	0.0072056230451220515
emissionprobs	9	2	H3k27ac	0	0.9966658544287311
emissionprobs	9	2	H3k27ac	1	0.0033341455712689633
emissionprobs	9	3	H3k27me3	0	0.9989441933228127
emissionprobs	9	3	H3k27me3	1	0.0010558066771872885
emissionprobs	9	4	H3k36me3	0	0.8681339253667725
emissionprobs	9	4	H3k36me3	1	0.13186607463322764
emissionprobs	9	5	H3k4me2	0	0.9920086759665353
emissionprobs	9	5	H3k4me2	1	0.007991324033464685
emissionprobs	9	6	H3k4me3	0	0.9990218045492626
emissionprobs	9	6	H3k4me3	1	9.781954507374789E-4
emissionprobs	9	7	H3k79me2	0	0.38267449484247534
emissionprobs	9	7	H3k79me2	1	0.6173255051575246
emissionprobs	9	8	H3k9ac	0	0.9911554275452088
emissionprobs	9	8	H3k9ac	1	0.008844572454791238
emissionprobs	9	9	H4k20me1	0	0.8646696648755217
emissionprobs	9	9	H4k20me1	1	0.13533033512447834
emissionprobs	10	0	H3k04me1	0	0.9980946291541541
emissionprobs	10	0	H3k04me1	1	0.0019053708458458124
emissionprobs	10	1	H3k09me3	0	0.9978386650968805
emissionprobs	10	1	H3k09me3	1	0.0021613349031196208
emissionprobs	10	2	H3k27ac	0	0.999157891190432
emissionprobs	10	2	H3k27ac	1	8.421088095679965E-4
emissionprobs	10	3	H3k27me3	0	0.9993703716693082
emissionprobs	10	3	H3k27me3	1	6.296283306917306E-4
emissionprobs	10	4	H3k36me3	0	0.9730675483997512
emissionprobs	10	4	H3k36me3	1	0.026932451600248805
emissionprobs	10	5	H3k4me2	0	0.9994715767587116
emissionprobs	10	5	H3k4me2	1	5.284232412885062E-4
emissionprobs	10	6	H3k4me3	0	0.9994881996485685
emissionprobs	10	6	H3k4me3	1	5.118003514314239E-4
emissionprobs	10	7	H3k79me2	0	0.968703882653019
emissionprobs	10	7	H3k79me2	1	0.03129611734698108
emissionprobs	10	8	H3k9ac	0	0.9936176288449798
emissionprobs	10	8	H3k9ac	1	0.00638237115502014
emissionprobs	10	9	H4k20me1	0	0.9547646038997549
emissionprobs	10	9	H4k20me1	1	0.045235396100245094
emissionprobs	11	0	H3k04me1	0	0.9995654801641929
emissionprobs	11	0	H3k04me1	1	4.345198358070906E-4
emissionprobs	11	1	H3k09me3	0	0.997418132908914
emissionprobs	11	1	H3k09me3	1	0.002581867091085904
emissionprobs	11	2	H3k27ac	0	0.999963058251305
emissionprobs	11	2	H3k27ac	1	3.6941748695054654E-5
emissionprobs	11	3	H3k27me3	0	0.9996138716941821
emissionprobs	11	3	H3k27me3	1	3.861283058178297E-4
emissionprobs	11	4	H3k36me3	0	0.999802337893569
emissionprobs	11	4	H3k36me3	1	1.97662106431011E-4
emissionprobs	11	5	H3k4me2	0	0.9997444124213044
emissionprobs	11	5	H3k4me2	1	2.555875786956644E-4
emissionprobs	11	6	H3k4me3	0	0.9999337528160943
emissionprobs	11	6	H3k4me3	1	6.624718390568017E-5
emissionprobs	11	7	H3k79me2	0	0.9978857274317913
emissionprobs	11	7	H3k79me2	1	0.0021142725682087825
emissionprobs	11	8	H3k9ac	0	0.9994827245981788
emissionprobs	11	8	H3k9ac	1	5.172754018212116E-4
emissionprobs	11	9	H4k20me1	0	0.9831835592111791
emissionprobs	11	9	H4k20me1	1	0.0168164407888209
emissionprobs	12	0	H3k04me1	0	0.9980103698386215
emissionprobs	12	0	H3k04me1	1	0.001989630161378488
emissionprobs	12	1	H3k09me3	0	0.9930906113858813
emissionprobs	12	1	H3k09me3	1	0.006909388614118595
emissionprobs	12	2	H3k27ac	0	0.9994714465198834
emissionprobs	12	2	H3k27ac	1	5.285534801165221E-4
emissionprobs	12	3	H3k27me3	0	0.949055909884468
emissionprobs	12	3	H3k27me3	1	0.05094409011553215
emissionprobs	12	4	H3k36me3	0	0.9998374444362829
emissionprobs	12	4	H3k36me3	1	1.625555637172354E-4
emissionprobs	12	5	H3k4me2	0	0.9984676657929786
emissionprobs	12	5	H3k4me2	1	0.0015323342070213894
emissionprobs	12	6	H3k4me3	0	0.999068377440541
emissionprobs	12	6	H3k4me3	1	9.316225594589562E-4
emissionprobs	12	7	H3k79me2	0	0.9920117431703322
emissionprobs	12	7	H3k79me2	1	0.007988256829667806
emissionprobs	12	8	H3k9ac	0	0.992203630992674
emissionprobs	12	8	H3k9ac	1	0.00779636900732597
emissionprobs	12	9	H4k20me1	0	0.9346657392976807
emissionprobs	12	9	H4k20me1	1	0.06533426070231929
emissionprobs	13	0	H3k04me1	0	0.9972907768762163
emissionprobs	13	0	H3k04me1	1	0.002709223123783733
emissionprobs	13	1	H3k09me3	0	0.9826712293105465
emissionprobs	13	1	H3k09me3	1	0.017328770689453515
emissionprobs	13	2	H3k27ac	0	0.9993584665906574
emissionprobs	13	2	H3k27ac	1	6.415334093426454E-4
emissionprobs	13	3	H3k27me3	0	0.6030282423411794
emissionprobs	13	3	H3k27me3	1	0.3969717576588207
emissionprobs	13	4	H3k36me3	0	0.9997998289493827
